unitid,bball_power_rating,name,year,state,sector,degree_status,institution_cat,size_cat,n_firstyear_enrolled,zipcode,longitude,latitude,carneigie_cat,religious_affiliation,total_price_local,total_price_instate,total_price_outofstate,disabilities_percent,total_enrollment,percent_asian,percent_black_or_african_american,percent_hispanic,percent_white,percent_women,percent_all_distance,percent_some_distance,student_faculty_ratio,average_instructor_salary,percent_finanical_aid,percent_pell_grant,graduation_rate,require_test_score,total_applicants,total_men_applicants,total_women_applicants,total_admitted,total_men_admitted,total_women_admitted,total_enrolled,total_men_enrolled,total_women_enrolled,percent_admitted,student_service_expenses,endowment_assets,major_education,major_engineering,major_biological_sciences,major_mathematics,major_physical_sciences,major_business,retention_rate
121150,0.3236,Pepperdine University,2018,California,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,90263,-118.707077,34.037786,Doctoral/Professional Universities,Churches of Christ,73002,73002,73002,More than 3 percent,3627,10,5,14,49,59,2,0,14,111487,79,17,83,Required,11265,4073,7192,4016,1686,2330,803,350,453,36,6955,101078,32,0,221,44,48,798,91
207582,0.3222,Oral Roberts University,2018,Oklahoma,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,74171,-95.952547,36.049129,Baccalaureate Colleges: Diverse Fields,Other Protestant,42660,42660,42660,3 percent or less,3529,2,14,12,43,60,14,0,16,67338,86,41,57,Required,2867,1082,1785,2308,908,1400,520,212,308,81,3704,13086,175,159,230,13,11,467,81
144892,0.3191,Eastern Illinois University,2018,Illinois,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,61920,-88.175658,39.479843,Master's Colleges & Universities: Larger Programs,Not applicable,24305,24305,26525,3 percent or less,6012,2,17,12,61,57,9,21,13,75075,70,40,58,Required,8580,3438,5142,4746,1799,2947,798,311,487,55,3883,9683,491,16,268,34,66,560,73
153162,0.3131,Cornell College,2018,Iowa,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,52314-1098,-91.423741,41.924554,Baccalaureate Colleges: Arts & Sciences Focus,United Methodist,58381,58381,58381,More than 3 percent,1028,4,6,7,68,48,0,0,12,68833,98,27,76,Considered but not required,2532,1289,1243,1545,748,797,296,162,134,61,8806,76953,52,7,70,12,31,60,76
217688,0.3058,Charleston Southern University,2018,South Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,29406-9121,-80.072587,32.983047,Master's Colleges & Universities: Medium Programs,Baptist,40940,40940,40940,More than 3 percent,2945,1,21,4,57,63,10,22,12,53908,99,48,42,Required,4455,1521,2934,2319,811,1508,585,231,354,52,4548,5844,319,0,278,61,9,438,65
198561,0.305,Gardner-Webb University,2018,North Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,28017-0997,-81.668141,35.24732,Doctoral/Professional Universities,Southern Baptist,46420,46420,46420,3 percent or less,2036,1,14,4,65,64,27,24,11,62156,92,45,53,Required,4204,1756,2448,2024,824,1200,409,176,233,48,4645,20180,116,0,120,9,6,217,74
232265,0.3037,Hampton University,2018,Virginia,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,23668-0099,-76.339161,37.019944,Doctoral Universities: High Research Activity,Not applicable,42380,42380,42380,3 percent or less,3672,0,96,1,1,66,3,2,13,65831,74,38,58,Recommended,19733,6177,13556,8652,2561,6091,922,325,597,44,3356,60480,68,114,419,18,49,635,75
198516,0.2943,Elon University,2018,North Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,27244-2010,-79.50344,36.104148,Doctoral/Professional Universities,Not applicable,51049,51049,51049,More than 3 percent,6196,2,6,6,80,60,0,0,12,83272,56,9,83,Required,10729,3725,7004,7740,2877,4863,1698,679,1019,72,6203,40115,268,65,282,114,30,2094,91
229063,0.293,Texas Southern University,2018,Texas,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,77004,-95.361113,29.721046,Doctoral Universities: High Research Activity,Not applicable,25343,25343,37793,3 percent or less,7604,2,81,6,1,58,3,28,18,68739,76,63,21,Required,13776,5264,8512,7802,2903,4899,1607,633,974,57,1518,6368,0,288,754,38,77,1243,53
198695,0.2907,High Point University,2018,North Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,27268,-79.994675,35.972035,Baccalaureate Colleges: Diverse Fields,United Methodist,52998,52998,52998,More than 3 percent,4545,2,5,5,77,57,0,2,14,68110,77,11,65,Considered but not required,10098,3931,6167,7770,2909,4861,1423,629,794,77,5205,12062,199,0,379,39,57,1577,83
211088,0.2646,Arcadia University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,19038-3295,-75.163876,40.092606,Master's Colleges & Universities: Larger Programs,Presbyterian Church (USA),59980,59980,59980,More than 3 percent,2160,5,10,9,62,68,0,18,12,71286,84,31,71,Required,9243,2907,6336,5930,1747,4183,479,145,334,64,3634,17618,73,0,367,36,43,215,80
215655,0.2596,Robert Morris University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,15108-1189,-80.210468,40.520415,Doctoral/Professional Universities,Not applicable,48220,48220,48220,More than 3 percent,4005,1,6,3,74,44,7,25,15,107302,82,29,64,Required,6269,2853,3416,5274,2424,2850,817,430,387,84,4965,7686,67,387,144,199,0,1159,83
227757,0.2585,Rice University,2018,Texas,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,77005-1827,-95.402035,29.717897,Doctoral Universities: Very High Research Activity,Not applicable,65150,65150,65150,More than 3 percent,3992,26,7,15,33,48,0,2,6,143865,63,15,95,Required,20923,11040,9883,2328,1196,1132,960,507,453,11,10987,841965,1,1000,248,149,99,23,98
122931,0.2557,Santa Clara University,2018,California,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,95053,-121.93784,37.348362,Doctoral/Professional Universities,Roman Catholic,71778,71778,71778,3 percent or less,5520,16,3,18,48,49,0,0,10,114372,69,11,91,Required,16242,7807,8435,8107,3707,4400,1391,729,662,50,7458,123783,0,939,459,97,66,1632,94
149772,0.2487,Western Illinois University,2018,Illinois,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,61455,-90.686899,40.468086,Master's Colleges & Universities: Larger Programs,Not applicable,25997,25997,25997,More than 3 percent,6754,1,21,13,59,52,8,33,13,81043,81,49,46,Required,9151,3878,5273,5379,2223,3156,934,441,493,59,3701,6704,294,85,330,30,178,943,67
227526,0.2483,Prairie View A & M University,2018,Texas,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,77446,-95.989475,30.092425,Master's Colleges & Universities: Larger Programs,Not applicable,24847,24847,39157,3 percent or less,8524,2,84,9,2,64,1,14,19,73627,83,66,35,Required,7158,2466,4692,5321,1650,3671,2177,654,1523,74,2587,9672,0,991,631,40,83,1055,66
222178,0.2423,Abilene Christian University,2018,Texas,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,79699,-99.709797,32.468943,Master's Colleges & Universities: Larger Programs,Churches of Christ,49722,49722,49722,More than 3 percent,3538,1,9,17,64,60,1,13,15,70211,97,27,67,Required,11569,4388,7181,6590,2371,4219,924,334,590,57,6468,93253,265,112,287,22,36,677,79
213385,0.2368,Lafayette College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,18042-1768,-75.209786,40.69956,Baccalaureate Colleges: Arts & Sciences Focus,Presbyterian Church (USA),71270,71270,71270,More than 3 percent,2642,4,5,7,65,52,0,0,10,108937,51,10,87,Required,9237,4924,4313,2715,1296,1419,733,365,368,29,12414,330578,0,729,343,66,73,0,94
184694,0.2334,Fairleigh Dickinson University-Florham Campus,2018,New Jersey,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,7940,-74.432121,40.774498,Master's Colleges & Universities: Larger Programs,Not applicable,60644,60644,60644,More than 3 percent,2730,5,9,17,58,57,0,9,13,82568,72,34,54,Neither required nor recommended,4838,1996,2842,4083,1645,2438,673,284,389,84,5700,12155,0,0,255,60,27,515,80
159717,0.2155,McNeese State University,2018,Louisiana,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,70605,-93.217222,30.178187,Master's Colleges & Universities: Larger Programs,Not applicable,21526,21526,29564,3 percent or less,6998,1,16,4,70,59,9,46,20,59579,73,31,45,Required,3224,1314,1910,2267,965,1302,1373,578,795,70,845,3025,320,628,310,47,67,844,70
102049,0.211,Samford University,2018,Alabama,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,35229-2240,-86.791799,33.464128,Doctoral/Professional Universities,Baptist,47863,47863,47863,More than 3 percent,3535,1,6,3,85,67,1,18,12,80606,92,12,76,Required,3884,1326,2558,3188,1044,2144,958,314,644,82,4801,60594,182,7,157,17,14,655,89
195474,0.209,Siena College,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,12211-1462,-73.7526,42.717602,Master's Colleges & Universities: Small Programs,Roman Catholic,55706,55706,55706,More than 3 percent,3164,4,4,8,78,56,0,7,12,77801,93,27,74,Recommended,7371,2925,4444,5907,2304,3601,746,317,429,80,6515,42723,1,0,429,42,124,1051,86
182670,0.1968,Dartmouth College,2018,New Hampshire,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,03755-3529,-72.289949,43.704115,Doctoral Universities: Very High Research Activity,Not applicable,74359,74359,74359,More than 3 percent,4418,15,6,10,50,49,0,0,7,140180,54,16,95,Required,22033,10540,11493,1925,968,957,1167,590,577,9,13027,821011,0,195,173,91,61,0,98
130253,0.1908,Sacred Heart University,2018,Connecticut,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,06825-1000,-73.243332,41.220893,Doctoral/Professional Universities,Roman Catholic,60580,60580,60580,More than 3 percent,5974,2,5,12,72,65,4,26,13,82393,90,17,70,Neither required nor recommended,10742,3773,6969,6493,2071,4422,1465,502,963,60,5300,20561,0,16,207,23,10,1015,83
192819,0.1891,Marist College,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,12601,-73.935484,41.720937,Master's Colleges & Universities: Larger Programs,Not applicable,58150,58150,58150,More than 3 percent,5670,3,4,10,73,58,2,16,16,86325,78,16,83,Neither required nor recommended,11207,4453,6754,5181,2266,2915,1299,536,763,46,6276,11814,92,0,314,85,31,1564,88
195173,0.1851,St. Francis College,2018,New York,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,11201-4305,-73.992164,40.693228,Baccalaureate Colleges: Diverse Fields,Not applicable,44488,44488,44488,3 percent or less,2323,4,19,24,36,61,0,24,15,80685,97,46,55,Neither required nor recommended,2795,1001,1794,2142,787,1355,564,214,350,77,5952,33456,126,0,199,6,15,324,76
137546,0.1841,Stetson University,2018,Florida,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,32723,-81.300746,29.035475,Master's Colleges & Universities: Larger Programs,Not applicable,63282,63282,63282,More than 3 percent,3150,2,8,17,59,56,1,1,13,90584,99,33,61,Recommended,13330,5014,8316,9121,3323,5798,895,395,500,68,5964,53331,167,0,295,30,66,817,77
159009,0.1789,Grambling State University,2018,Louisiana,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,71245,-92.713245,32.523797,Master's Colleges & Universities: Larger Programs,Not applicable,26091,26091,35114,3 percent or less,4110,0,90,2,1,60,2,49,24,52719,86,79,33,Required,3275,1182,2093,3103,1116,1987,923,341,582,95,1244,1540,421,0,411,16,37,478,74
232937,0.1732,Norfolk State University,2018,Virginia,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,23504-8000,-76.261375,36.848429,Master's Colleges & Universities: Medium Programs,Not applicable,24995,24995,36163,3 percent or less,4660,1,85,4,3,65,3,59,16,73883,80,65,37,Required,7442,2384,5058,6675,2070,4605,1098,379,719,90,1464,5237,34,113,360,26,67,490,74
140960,0.1709,Savannah State University,2018,Georgia,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,31404-5310,-81.063377,32.024781,Master's Colleges & Universities: Small Programs,Not applicable,17255,17255,27716,3 percent or less,3895,0,81,9,4,60,5,26,17,53580,87,73,28,Required,7930,2670,5260,2314,848,1466,762,307,455,29,1663,1908,0,0,758,21,60,639,61
163046,0.167,Loyola University Maryland,2018,Maryland,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,21210-2699,-76.621872,39.346358,Master's Colleges & Universities: Larger Programs,Roman Catholic,66200,66200,66200,More than 3 percent,3879,4,6,10,76,58,0,1,12,80187,84,14,80,Neither required nor recommended,10251,4275,5976,8072,3271,4801,1069,432,637,79,6262,43833,108,180,327,52,39,1145,88
134945,0.1636,Jacksonville University,2018,Florida,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,32211-3394,-81.60458,30.353227,Master's Colleges & Universities: Larger Programs,Not applicable,54868,54868,54868,3 percent or less,2920,3,20,12,52,61,16,25,11,68973,75,30,53,Considered but not required,4298,1761,2537,3865,1585,2280,624,296,328,90,6231,11911,74,95,193,13,36,386,74
199157,0.1522,North Carolina Central University,2018,North Carolina,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,27707,-78.898602,35.974237,Master's Colleges & Universities: Larger Programs,Not applicable,24419,24419,37126,3 percent or less,6434,1,78,6,6,68,10,32,16,75779,78,65,46,Required,13019,4326,8693,6072,1884,4188,1143,357,786,47,1169,4757,218,0,465,25,101,734,76
225399,0.1491,Houston Baptist University,2018,Texas,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,77074-3298,-95.515954,29.693819,Master's Colleges & Universities: Larger Programs,Southern Baptist,46340,46340,46340,3 percent or less,2321,8,17,36,24,64,8,21,12,65037,91,42,40,Required,7051,2626,4425,4937,1841,3096,531,172,359,70,3142,35284,145,24,308,14,22,280,71
163453,0.1467,Morgan State University,2018,Maryland,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,21251-0001,-76.585565,39.344161,Doctoral Universities: High Research Activity,Not applicable,24101,24101,34368,More than 3 percent,6419,1,80,3,2,55,1,18,13,77694,73,52,39,Required,8631,2939,5692,5718,1965,3753,1335,542,793,66,1129,4966,437,944,366,13,53,1198,71
106412,0.1208,University of Arkansas at Pine Bluff,2018,Arkansas,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,71601,-92.018683,34.244031,Baccalaureate Colleges: Diverse Fields,Not applicable,20790,20790,27150,3 percent or less,2473,0,91,2,4,59,2,55,15,52910,92,72,29,Required,5508,2098,3410,2443,877,1566,568,263,305,44,2381,1577,237,0,266,24,64,304,72
218539,0.1144,Presbyterian College,2018,South Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,29325,-81.87448,34.465834,Baccalaureate Colleges: Arts & Sciences Focus,Presbyterian Church (USA),52910,52910,52910,More than 3 percent,1080,1,14,4,69,53,0,0,11,71238,93,29,66,Considered but not required,2462,1160,1302,1695,747,948,310,158,152,69,8753,72270,26,0,122,14,29,127,76
234085,0.114,Virginia Military Institute,2018,Virginia,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,24450-0304,-79.437067,37.7896,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,31494,31494,58338,3 percent or less,1685,4,6,7,77,13,0,0,10,72727,71,15,78,Required,1768,1470,298,907,745,162,475,393,82,51,4158,262943,0,476,161,46,204,0,83
175342,0.0992,Alcorn State University,2018,Mississippi,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,39096-7500,-91.142854,31.877216,Master's Colleges & Universities: Medium Programs,Not applicable,24032,24032,24032,3 percent or less,3173,0,91,1,3,64,6,61,18,60952,89,78,40,Required,4314,1340,2974,3853,1174,2679,615,217,397,89,1878,5362,115,0,730,12,89,315,80
175856,0.0977,Jackson State University,2018,Mississippi,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,39217,-90.207405,32.296105,Doctoral Universities: High Research Activity,Not applicable,24029,24029,35257,More than 3 percent,5331,0,92,1,3,64,14,49,15,65233,74,62,43,Required,7680,2487,5193,5294,1628,3666,831,318,513,69,2576,5624,686,381,740,24,149,668,77
131520,0.0976,Howard University,2018,District of Columbia,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,20059-0001,-77.018966,38.922392,Doctoral Universities: High Research Activity,Not applicable,44651,44651,44651,3 percent or less,6243,1,88,1,2,69,0,14,10,86006,77,44,62,Required,20946,6023,14923,6617,1844,4773,1501,429,1072,32,3832,74190,54,369,776,33,130,967,86
217165,0.0936,Bryant University,2018,Rhode Island,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,02917-1291,-71.539547,41.920092,Master's Colleges & Universities: Medium Programs,Not applicable,62320,62320,62320,3 percent or less,3362,4,4,7,74,38,0,0,13,94885,89,14,81,Neither required nor recommended,7235,4462,2773,5475,3348,2127,867,553,314,76,8522,47482,0,0,79,170,0,2716,87
232566,0.0911,Longwood University,2018,Virginia,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,23909,-78.39575,37.301137,Master's Colleges & Universities: Medium Programs,Not applicable,27330,27330,43290,More than 3 percent,4324,1,10,6,74,68,6,2,14,67333,54,25,69,Required,5162,1668,3494,4601,1460,3141,1007,317,690,89,1153,15609,34,0,204,40,78,494,75
100724,0.0858,Alabama State University,2018,Alabama,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,36104-0271,-86.295677,32.364317,Master's Colleges & Universities: Medium Programs,Not applicable,22110,22110,30438,3 percent or less,3903,0,94,1,2,63,9,6,15,69850,89,74,30,Required,7783,2268,5328,7607,2183,5229,1038,369,669,98,3852,21765,497,44,424,38,74,439,61
218733,0.0779,South Carolina State University,2018,South Carolina,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,29117-0001,-80.848722,33.497968,Master's Colleges & Universities: Small Programs,Not applicable,30060,30060,40750,More than 3 percent,2430,0,95,0,2,50,1,33,16,63483,82,73,34,Required,3415,1399,2016,1818,758,1060,541,261,280,53,4615,4077,347,62,259,11,38,277,68
144005,0.0756,Chicago State University,2018,Illinois,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,60628-1598,-87.609384,41.718446,Master's Colleges & Universities: Larger Programs,Not applicable,24587,24587,31547,3 percent or less,2027,0,74,7,3,69,7,41,7,68933,81,64,19,Required,3236,1114,2122,1060,356,704,157,66,91,33,3665,2329,101,0,69,6,37,230,52
162283,0.0585,Coppin State University,2018,Maryland,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,21216-3698,-76.658687,39.311258,Master's Colleges & Universities: Small Programs,Not applicable,23332,23332,29603,More than 3 percent,2362,0,81,3,2,78,5,41,13,68591,77,60,24,Required,6156,1842,4314,2352,627,1725,408,99,309,38,2613,4808,97,0,115,24,0,202,70
176044,0.0564,Mississippi Valley State University,2018,Mississippi,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,38941-1400,-90.341274,33.514142,Master's Colleges & Universities: Small Programs,Not applicable,20714,20714,20714,3 percent or less,1930,0,91,1,2,60,5,27,13,52277,83,69,29,Required,2540,975,1565,2192,795,1397,380,196,184,86,3401,1010,170,0,190,16,6,200,61
163338,0.045,University of Maryland Eastern Shore,2018,Maryland,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,21853-1299,-75.686852,38.207386,Doctoral Universities: High Research Activity,Not applicable,24216,24216,34422,3 percent or less,2597,2,70,4,11,56,3,42,12,73216,84,54,39,Required,4923,1824,3099,2664,947,1717,505,208,297,54,1929,8380,57,134,326,25,20,319,62
130934,0.0391,Delaware State University,2018,Delaware,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,19901,-75.54053,39.187173,Doctoral Universities: High Research Activity,Not applicable,23420,23420,32456,3 percent or less,4208,1,70,6,8,66,0,33,15,74748,76,51,40,Required,7000,2260,4740,3442,1007,2435,1047,342,705,49,3806,7350,267,109,294,10,60,434,70
