unitid,name,year,state,sector,degree_status,institution_cat,size_cat,n_firstyear_enrolled,zipcode,longitude,latitude,carneigie_cat,religious_affiliation,total_price_local,total_price_instate,total_price_outofstate,disabilities_percent,total_enrollment,percent_asian,percent_black_or_african_american,percent_hispanic,percent_white,percent_women,percent_all_distance,percent_some_distance,student_faculty_ratio,average_instructor_salary,percent_finanical_aid,percent_pell_grant,graduation_rate,require_test_score,total_applicants,total_men_applicants,total_women_applicants,total_admitted,total_men_admitted,total_women_admitted,total_enrolled,total_men_enrolled,total_women_enrolled,percent_admitted,student_service_expenses,endowment_assets,major_education,major_engineering,major_biological_sciences,major_mathematics,major_physical_sciences,major_business,retention_rate,usnews_liberal_arts_ranking,usnews_national_ranking,usnews_ranking,usnews_ranking_type
204909,Ohio Wesleyan University,2018,Ohio,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,43015-2370,-83.069757,40.295963,Baccalaureate Colleges: Arts & Sciences Focus,United Methodist,61910,61910,61910,More than 3 percent,1561,3,9,6,68,54,0,0,10,78048,99,32,67,Recommended,4705,2322,2383,3246,1500,1746,453,201,252,69,7929,142293,47,0,180,19,66,192,78,101,NA,101,liberal arts
206525,Wittenberg University,2018,Ohio,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,45504,-83.815445,39.934029,Baccalaureate Colleges: Arts & Sciences Focus,Evangelical Lutheran Church,53056,53056,53056,More than 3 percent,1757,1,10,4,77,55,0,0,12,64880,97,33,62,Neither required nor recommended,7393,2938,4455,5451,2060,3391,484,212,272,74,5346,59987,85,0,107,22,56,203,70,158,NA,158,liberal arts
206589,The College of Wooster,2018,Ohio,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,44691,-81.934674,40.81046,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,64000,64000,64000,More than 3 percent,2004,5,10,5,63,54,0,0,11,74317,96,17,75,Required,6244,2960,3284,3383,1493,1890,569,269,300,54,9673,153974,7,0,198,59,88,0,86,63,NA,63,liberal arts
207971,University of Tulsa,2018,Oklahoma,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,74104-3189,-95.945941,36.152324,Doctoral Universities: High Research Activity,Presbyterian Church (USA),59725,59725,59725,More than 3 percent,3267,5,6,8,56,45,0,0,11,95078,90,18,74,Required,8526,3914,4612,3476,1802,1674,806,437,369,41,3432,267745,33,736,243,58,83,652,87,NA,87,87,national
209056,Lewis & Clark College,2018,Oregon,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,97219-7899,-122.669137,45.450882,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,66526,66526,66526,More than 3 percent,2046,5,3,12,62,61,0,0,12,87646,89,19,75,Considered but not required,6139,2047,4092,4528,1427,3101,562,194,368,74,4527,70883,0,0,141,37,52,0,86,76,NA,76,liberal arts
209065,Linfield University-McMinnville Campus,2018,Oregon,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,97128-6894,-123.199642,45.201173,Baccalaureate Colleges: Arts & Sciences Focus,American Baptist,59007,59007,59007,More than 3 percent,1376,4,2,17,58,61,1,19,9,65795,97,28,65,Considered but not required,2199,900,1299,1782,670,1112,326,123,203,81,6150,63924,90,10,59,30,19,162,84,117,NA,117,liberal arts
209922,Reed College,2018,Oregon,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,97202-8199,-122.630348,45.480959,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,73207,73207,73207,More than 3 percent,1483,7,2,10,58,54,0,0,9,96410,50,15,81,Required,5957,2414,3543,2087,812,1275,363,160,203,35,6299,406436,0,0,143,77,135,0,91,82,NA,82,liberal arts
210401,Willamette University,2018,Oregon,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,97301,-123.030537,44.935457,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,65109,65109,65109,More than 3 percent,1808,6,2,13,57,58,0,0,11,99633,90,22,74,Recommended,4206,1966,2240,3518,1522,1996,390,168,222,84,5102,106828,0,0,74,36,82,0,84,82,NA,82,liberal arts
210669,Allegheny College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,16335-3902,-80.147168,41.64869,Baccalaureate Colleges: Arts & Sciences Focus,United Methodist,63180,63180,63180,More than 3 percent,1771,4,9,9,67,56,0,0,10,71046,99,34,74,Considered but not required,5479,2328,3151,3485,1397,2088,474,208,266,64,10676,128318,0,6,172,25,50,0,86,82,NA,82,liberal arts
211291,Bucknell University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,17837,-76.882616,40.954317,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,72750,72750,72750,More than 3 percent,3597,6,4,7,72,51,0,0,9,102805,54,11,88,Required,10144,5231,4913,3352,1608,1744,974,459,515,33,12013,225154,72,678,417,64,89,553,92,33,NA,33,liberal arts
212009,Dickinson College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,17013-2896,-77.197854,40.202796,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,71339,71339,71339,More than 3 percent,2399,4,5,9,64,58,0,0,9,84045,74,12,84,Recommended,6248,2556,3692,3070,1214,1856,635,276,359,49,7621,174801,55,0,174,91,72,187,87,51,NA,51,liberal arts
212197,Elizabethtown College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,17022-2298,-76.593224,40.149236,Baccalaureate Colleges: Arts & Sciences Focus,Church of Brethren,60460,60460,60460,More than 3 percent,1633,3,3,3,86,61,0,5,11,79679,98,20,73,Required,2010,773,1237,1522,569,953,386,147,239,76,4555,40311,163,169,175,23,17,289,87,117,NA,117,liberal arts
212577,Franklin and Marshall College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,17604-3003,-76.319037,40.048045,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,73070,73070,73070,More than 3 percent,2309,5,6,10,56,55,0,0,9,89853,57,20,83,Neither required nor recommended,6557,3098,3459,2316,969,1347,611,266,345,35,9772,152501,0,0,125,69,66,112,90,39,NA,39,liberal arts
212674,Gettysburg College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,17325,-77.236792,39.836597,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,68990,68990,68990,More than 3 percent,2441,2,4,9,74,52,0,0,9,86773,87,15,82,Recommended,6269,2943,3326,2847,1344,1503,748,345,403,45,8674,126662,19,0,203,58,80,228,91,46,NA,46,liberal arts
212911,Haverford College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,19041-1392,-75.305207,40.007452,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,73902,73902,73902,More than 3 percent,1310,13,7,10,53,51,0,0,8,91522,48,16,92,Required,4672,2063,2609,878,397,481,357,175,182,19,11504,377646,0,0,58,36,81,0,96,18,NA,18,liberal arts
213251,Juniata College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,16652-2196,-78.017292,40.500523,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,60368,60368,60368,More than 3 percent,1423,3,3,5,74,57,0,0,11,72822,100,26,79,Recommended,2437,1073,1364,1710,719,991,350,149,201,70,7776,85231,97,25,287,14,82,152,86,106,NA,106,liberal arts
213385,Lafayette College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,18042-1768,-75.209786,40.69956,Baccalaureate Colleges: Arts & Sciences Focus,Presbyterian Church (USA),71270,71270,71270,More than 3 percent,2642,4,5,7,65,52,0,0,10,108937,51,10,87,Required,9237,4924,4313,2715,1296,1419,733,365,368,29,12414,330578,0,729,343,66,73,0,94,36,NA,36,liberal arts
213543,Lehigh University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,18015,-75.380236,40.606822,Doctoral Universities: High Research Activity,Not applicable,68595,68595,68595,More than 3 percent,5047,8,3,10,63,46,0,0,9,121649,50,15,87,Required,15622,8629,6993,3488,1708,1780,1275,664,611,22,5881,203905,0,1058,256,50,88,703,93,NA,46,46,national
213668,Lycoming College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,17701-5192,-77,41.24666,Baccalaureate Colleges: Arts & Sciences Focus,United Methodist,56155,56155,56155,More than 3 percent,1142,1,13,12,60,53,0,0,12,69126,99,41,67,Required,2433,1147,1283,1596,777,817,323,131,192,66,6393,166080,0,0,61,16,33,126,77,147,NA,147,liberal arts
214157,Moravian University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,18018-6650,-75.383638,40.630947,Baccalaureate Colleges: Arts & Sciences Focus,Moravian Church,60164,60164,60164,More than 3 percent,2139,2,3,11,70,61,0,3,11,72151,88,28,68,Required,2443,1051,1392,1779,765,1014,449,187,262,73,5477,48075,10,0,94,12,30,173,82,165,NA,165,liberal arts
214175,Muhlenberg College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,18104,-75.508501999999993,40.596416,Baccalaureate Colleges: Arts & Sciences Focus,Evangelical Lutheran Church,67535,67535,67535,More than 3 percent,2340,3,4,8,71,61,0,1,10,80958,84,15,82,Considered but not required,4146,1704,2442,2562,982,1580,548,214,334,62,5117,106849,0,0,188,46,30,350,90,71,NA,71,liberal arts
215798,Saint Vincent College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,15650-2690,-79.403762,40.29265,Baccalaureate Colleges: Arts & Sciences Focus,Roman Catholic,50329,50329,50329,More than 3 percent,1676,1,6,3,83,45,0,13,11,70209,97,28,77,Required,2354,1361,993,1609,860,749,417,234,183,68,5038,54537,93,88,196,32,52,373,81,147,NA,147,liberal arts
216278,Susquehanna University,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,17870-1025,-76.875329,40.797502,Baccalaureate Colleges: Arts & Sciences Focus,Evangelical Lutheran Church,62480,62480,62480,More than 3 percent,2393,2,7,7,76,57,0,0,12,72938,96,26,71,Recommended,5684,2055,2795,4116,1702,2414,619,283,334,72,8414,68882,163,0,353,37,102,492,87,141,NA,141,liberal arts
216287,Swarthmore College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,19081,-75.354278,39.905159,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,71167,71167,71167,More than 3 percent,1559,16,8,13,38,51,0,0,8,118912,59,19,94,Required,10749,4374,6375,1020,489,531,414,206,208,9,10069,1290102,23,52,86,46,34,0,98,3,NA,3,liberal arts
216524,Ursinus College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,19426-1000,-75.456505,40.193023,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,68122,68122,68122,More than 3 percent,1435,4,8,8,71,51,0,0,10,80035,98,21,79,Considered but not required,3361,1575,1786,2382,1061,1321,378,201,177,71,6816,95671,1,3,361,32,47,0,87,93,NA,93,liberal arts
216667,Washington & Jefferson College,2018,Pennsylvania,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,15301,-80.24049,40.170622,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,61814,61814,61814,More than 3 percent,1356,2,5,5,73,49,0,0,11,73153,99,29,73,Recommended,2806,1219,1587,2311,967,1344,351,175,176,82,6836,97744,15,0,105,20,69,195,83,106,NA,106,liberal arts
218070,Furman University,2018,South Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,29613-6162,-82.440458,34.924676,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,65024,65024,65024,More than 3 percent,2768,2,7,6,76,59,0,0,10,86783,96,14,80,Considered but not required,5469,2213,3256,3339,1243,2096,711,293,418,61,10147,241614,34,0,141,26,90,138,89,53,NA,53,liberal arts
218539,Presbyterian College,2018,South Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,29325,-81.87448,34.465834,Baccalaureate Colleges: Arts & Sciences Focus,Presbyterian Church (USA),52910,52910,52910,More than 3 percent,1080,1,14,4,69,53,0,0,11,71238,93,29,66,Considered but not required,2462,1160,1302,1695,747,948,310,158,152,69,8753,72270,26,0,122,14,29,127,76,123,NA,123,liberal arts
218973,Wofford College,2018,South Carolina,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,29303-3663,-81.933568,34.959411,Baccalaureate Colleges: Arts & Sciences Focus,United Methodist,60363,60363,60363,More than 3 percent,1666,2,8,4,80,53,0,0,11,73799,94,16,81,Considered but not required,3520,1576,1944,2238,951,1287,465,208,257,64,10948,115855,0,0,186,26,59,204,92,71,NA,71,liberal arts
221351,Rhodes College,2018,Tennessee,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,38112-1690,-89.990803,35.154405,Baccalaureate Colleges: Arts & Sciences Focus,Presbyterian Church (USA),63040,63040,63040,More than 3 percent,2008,6,9,6,69,56,0,0,10,76519,92,14,85,Required,5093,2192,2901,2269,872,1397,543,226,317,45,8115,167029,36,0,166,15,66,168,92,51,NA,51,liberal arts
221519,The University of the South,2018,Tennessee,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,37383-1000,-85.920179,35.204719,Baccalaureate Colleges: Arts & Sciences Focus,Protestant Episcopal,60950,60950,60950,More than 3 percent,1698,2,5,5,81,51,0,0,10,85795,87,17,84,Recommended,3465,1567,1898,2258,1012,1246,477,230,247,65,9023,226314,0,0,76,16,36,0,88,41,NA,41,liberal arts
222983,Austin College,2018,Texas,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,75090-4400,-96.596331,33.646345,Baccalaureate Colleges: Arts & Sciences Focus,Presbyterian Church (USA),55137,55137,55137,More than 3 percent,1277,13,10,20,49,51,0,0,13,66832,99,33,70,Considered but not required,3832,1701,2131,2120,947,1173,435,223,212,55,7329,123372,0,0,90,23,27,97,78,93,NA,93,liberal arts
227757,Rice University,2018,Texas,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,77005-1827,-95.402035,29.717897,Doctoral Universities: Very High Research Activity,Not applicable,65150,65150,65150,More than 3 percent,3992,26,7,15,33,48,0,2,6,143865,63,15,95,Required,20923,11040,9883,2328,1196,1132,960,507,453,11,10987,841965,1,1000,248,149,99,23,98,NA,14,14,national
228343,Southwestern University,2018,Texas,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,78626,-97.665738,30.634341,Baccalaureate Colleges: Arts & Sciences Focus,United Methodist,55970,55970,55970,More than 3 percent,1434,3,5,24,61,55,0,0,12,74462,96,27,74,Required,4551,2036,2515,2049,879,1170,442,216,226,45,7728,200911,33,0,88,18,24,125,86,96,NA,96,liberal arts
230959,Middlebury College,2018,Vermont,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,5753,-73.176068,44.009117,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,71980,71980,71980,More than 3 percent,2564,7,4,10,62,53,0,0,8,102312,44,14,91,Required,9227,3979,5248,1542,721,821,628,292,336,17,11453,314608,15,0,217,56,51,0,94,6,NA,6,liberal arts
231059,Saint Michael's College,2018,Vermont,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,5439,-73.167069,44.494558,Baccalaureate Colleges: Arts & Sciences Focus,Roman Catholic,59765,59765,59765,More than 3 percent,1694,2,2,6,81,54,0,2,13,77138,98,15,77,Recommended,4040,1910,2130,3339,1516,1823,449,220,229,83,6549,43509,162,28,283,35,31,301,83,106,NA,106,liberal arts
231624,William & Mary,2018,Virginia,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Yes,23187-8795,-76.708214,37.269489,Doctoral Universities: High Research Activity,Not applicable,39221,39221,61093,More than 3 percent,6377,8,7,9,59,58,0,0,11,100353,49,12,91,Required,14644,5654,8990,5406,2392,3014,1545,648,897,37,2153,108018,0,0,389,117,219,355,95,NA,32,32,national
232025,Emory & Henry College,2018,Virginia,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,24327-0947,-81.829142,36.772857,Baccalaureate Colleges: Arts & Sciences Focus,United Methodist,50800,50800,50800,More than 3 percent,979,1,8,4,77,53,0,2,10,61527,97,44,60,Required,1660,795,865,1154,526,628,268,125,143,70,6447,74371,91,0,35,14,19,65,76,168,NA,168,liberal arts
232256,Hampden-Sydney College,2018,Virginia,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,23943-0128,-78.464216,37.240615,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,62304,62304,62304,3 percent or less,1072,1,5,4,86,0,0,0,11,72785,99,18,66,Required,3239,3238,1,1912,1911,1,343,342,1,59,12270,163163,0,0,54,7,12,138,79,96,NA,96,liberal arts
233295,Randolph-Macon College,2018,Virginia,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,23005-5505,-77.478416,37.76043,Baccalaureate Colleges: Arts & Sciences Focus,United Methodist,55860,55860,55860,More than 3 percent,1488,1,10,4,76,53,0,0,11,75081,99,22,66,Required,2907,1390,1517,1951,935,1016,420,198,222,67,8476,115511,0,28,170,16,54,195,84,126,NA,126,liberal arts
233374,University of Richmond,2018,Virginia,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,23173,-77.538806,37.577393,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,67020,67020,67020,More than 3 percent,3295,7,8,8,58,53,0,1,8,114574,72,20,87,Required,11882,5148,6734,3585,1670,1915,832,404,428,30,12054,604473,21,0,184,63,63,549,94,23,NA,23,liberal arts
233426,Roanoke College,2018,Virginia,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,24153-3794,-80.055467,37.294861,Baccalaureate Colleges: Arts & Sciences Focus,Evangelical Lutheran Church,61095,61095,61095,More than 3 percent,2014,1,5,5,81,58,0,0,11,69484,98,25,67,Required,5122,1950,3172,3713,1402,2311,576,238,338,72,5645,67634,8,0,105,27,40,145,78,138,NA,138,liberal arts
234085,Virginia Military Institute,2018,Virginia,"Public, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,24450-0304,-79.437067,37.7896,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,31494,31494,58338,3 percent or less,1685,4,6,7,77,13,0,0,10,72727,71,15,78,Required,1768,1470,298,907,745,162,475,393,82,51,4158,262943,0,476,161,46,204,0,83,65,NA,65,liberal arts
234207,Washington and Lee University,2018,Virginia,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,24450-2116,-79.443018,37.788939,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,70500,70500,70500,3 percent or less,1829,4,3,5,81,50,0,0,8,113113,59,10,95,Required,5855,2884,2971,1239,577,662,474,206,268,21,6868,735711,0,34,109,48,44,280,98,10,NA,10,liberal arts
236328,University of Puget Sound,2018,Washington,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,98416,-122.478982,47.26308,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,65616,65616,65616,More than 3 percent,2364,6,2,9,69,60,0,0,11,94655,99,15,76,Neither required nor recommended,5730,2471,3259,5060,2091,2969,653,267,386,88,8657,155188,15,0,159,39,49,204,81,68,NA,68,liberal arts
237057,Whitman College,2018,Washington,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,99362,-118.331546,46.069815,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,68082,68082,68082,More than 3 percent,1475,6,2,7,65,57,0,0,9,85377,76,11,87,Considered but not required,5226,2103,3123,2621,1002,1619,426,173,253,50,10071,395077,0,4,123,36,67,0,89,41,NA,41,liberal arts
238333,Beloit College,2018,Wisconsin,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,53511-5595,-89.029285,42.504022,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,61584,61584,61584,More than 3 percent,1275,4,7,11,52,55,0,0,10,65443,97,25,79,Considered but not required,4200,2083,2117,2369,1061,1308,266,115,151,56,6765,115946,45,16,61,23,88,46,79,76,NA,76,liberal arts
238476,Carthage College,2018,Wisconsin,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,53140-1994,-87.820924,42.622969,Baccalaureate Colleges: Diverse Fields,Evangelical Lutheran Church,59240,59240,59240,More than 3 percent,2763,2,6,13,68,56,0,0,12,76137,95,29,64,Considered but not required,8109,3127,4982,5500,2133,3367,763,345,418,68,4091,33688,167,0,222,61,123,558,76,163,NA,163,liberal arts
239017,Lawrence University,2018,Wisconsin,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,54911,-88.397822,44.261323,Baccalaureate Colleges: Arts & Sciences Focus,Not applicable,60141,60141,60141,More than 3 percent,1463,5,5,10,62,54,0,0,8,73284,97,22,80,Considered but not required,3502,1760,1742,2188,1049,1139,400,199,201,62,9027,227464,26,0,110,21,42,0,87,58,NA,58,liberal arts
239716,Saint Norbert College,2018,Wisconsin,"Private not-for-profit, 4-year or above",Degree-granting,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Yes,54115-2099,-88.067812,44.44483,Baccalaureate Colleges: Arts & Sciences Focus,Roman Catholic,50133,50133,50133,More than 3 percent,2132,1,2,5,87,59,0,0,14,67696,95,21,71,Required,4118,1624,2494,3199,1230,1969,620,236,384,78,4951,68446,302,0,338,47,72,526,82,134,NA,134,liberal arts
